,내용,점수,날짜
852,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
853,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
854,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
855,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
856,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
857,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
858,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
859,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
860,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
861,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
862,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
863,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
864,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
865,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
866,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
867,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
868,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
869,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
870,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
871,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
872,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
873,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
874,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
875,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
876,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
877,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
878,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
879,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
880,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
881,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
882,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
883,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
884,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
885,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
886,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
887,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
888,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
889,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
890,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
891,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
892,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
893,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
894,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
895,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
896,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
897,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
898,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
899,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
900,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
901,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
902,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
903,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
904,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
905,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
906,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
907,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
908,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
909,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
910,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
911,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
912,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
913,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
914,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
915,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
916,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
917,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
918,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
919,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
920,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
921,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
922,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
923,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
924,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
925,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
926,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
927,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
928,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
929,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
930,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
931,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
932,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
933,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
934,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
935,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
936,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
937,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
938,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
939,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
940,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
941,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
942,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
943,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
944,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
945,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
946,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
947,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
948,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
949,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
950,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
951,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
952,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
953,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
954,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
955,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
956,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
957,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
958,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
959,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
960,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
961,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
962,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
963,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
964,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
965,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
966,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
967,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
968,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
969,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
970,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
971,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
972,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
973,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
974,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
975,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
976,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
977,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
978,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
979,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
980,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
981,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
982,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
983,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
984,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
985,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
986,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
987,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
988,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
989,아니 에머리히 감독이 스토리에 고증을 철저히 지키다니 안믿긴다..(진짜 실제인물에 장면 하나하나가 거의 다 사실인건 솔직히 놀랍네요)(영화에 대한 팩트들)1.제작비는 500억이 아니라 1100억이고 2.소니가 진짜로 20년전에 미드웨이 영화화 반대했고3.평론가 평가가 안좋다?..진주만 보다 20점 높은 44점입니다.(전쟁 영화로써 좋은 점수입니다)4.고증이 안좋다?..스토리 고증은 정말 철저하고 전투기 등등의 디테일은 비슷하지만 완전 정확하진 않음5.중국이 나온다?:나옵니다..하지만 역사적 사실이고 일본은 당시에 미군을 도와준 중국을 보복했죠.(영화는 소니의 반대로 뒤늦게 20년만에 독립영화로 만들어졌는데 1100억의 제작비로 이정도로 강렬한 운명의 5분 미드웨이 해전을 보여준건 놀랍네요) ,8,2019.12.31 10:14
990,미드웨이가 재밌으면 추천 백두산이 재밌으면 비추,9,2019.12.31 09:48
991,저 해전이 있었기에 우리나라 광복도 가능 했음,10,2019.12.31 10:41
992,백두산 상영관 대폭줄이고 미드웨이 상영관 대폭늘려라,10,2019.12.31 09:38
993,방금 개봉했는데 1점 준애는 뭐냐 ㅋㅋ 일본놈이냐? 이제 광고돌고 있을 시간이다.,10,2019.12.31 09:14
994,교과서에는 미드웨이 해전에서 미국이 승리했다고 한 줄로 서술되어 있지만 단순히 한 줄로 설명할 수 없는 파란만장했던 전쟁.,10,2019.12.31 19:58
995,스케일 겁나커서 보는내내 입벌리고 봣네욬ㅋㅋ재밋습니다,10,2019.12.31 09:29
996,안보면후회함 백두산보다낫다,10,2019.12.31 09:52
997,재밌으면 추천 재미없으면 비추천 눌러주십쇼 형님들,10,2019.12.31 09:01
998,일본의 최대 실수는 미국을 건드린거다 그 대가로 원폭 처맞고 멸망함ㅋㅋㅋ지금 하는 짓거리보면 아직 더 맞아야 될듯,10,2019.12.31 16:37
